Eguna	Hilab	Urtea	Tokia	Tmax	Tmin	Tmean	Vmax	Euria
1	8	2019	Iruña	31.1	14.4	22.8	37.0	4.5
1	8	2019	Alforja	31.0	16.0	23.5	14.0	0.0
1	8	2019	Reus	31.0	19.8	25.4	23.0	0.0
1	8	2019	Tarragona	29.4	20.8	25.1	0.0	0.0
1	8	2019	Vigo	26.6	12.9	19.8	25.0	0.0
13	10	2019	Donostia	30.2	18.3	24.3	36.0	0.0
13	10	2019	Bilbo	28.3	15.5	21.9	35.0	0.0
13	10	2019	Gasteiz	28.5	16.0	22.3	24.0	0.0
13	10	2019	Iruña	27.1	16.3	21.7	39.0	0.0
13	10	2019	Reus	26.1	19.3	22.7	28.0	0.0
13	10	2019	Tarragona	25.3	20.2	22.8	0.0	0.0
13	10	2019	Vigo	16.7	12.0	14.4	33.0	20.2
14	2	2019	Donostia	22.7	5.1	13.9	28.0	0.0
14	2	2019	Bilbo	15.0	-1.5	6.8	0.0	0.0
14	2	2019	Gasteiz	15.0	-1.5	6.8	24.0	0.0
14	2	2019	Iruña	16.0	-1.5	7.3	19.0	0.0
14	2	2019	Alforja	14.8	2.9	8.9	0.0	0.0
14	2	2019	Reus	14.8	2.9	8.9	0.0	0.0
14	2	2019	Tarragona	14.6	5.7	10.2	0.0	0.0
14	2	2019	Vigo	20.2	6.4	13.3	16.0	0.0
18	6	2019	Donostia	30.9	17.9	24.4	24.0	0.0
18	6	2019	Bilbo	35.1	14.7	24.9	41.0	0.0
18	6	2019	Gasteiz	33.7	14.4	24.1	0.0	0.0
18	6	2019	Iruña	33.7	14.4	24.1	41.0	0.0
18	6	2019	Reus	26.0	17.1	21.6	15.0	0.0
18	6	2019	Tarragona	24.3	17.9	21.1	0.0	0.0
18	6	2019	Vigo	19.7	12.0	15.9	36.0	2.9
3	3	2019	Donostia	28.4	8.0	18.2	42.0	0.0
3	3	2019	Bilbo	25.0	7.2	16.1	44.0	0.0
3	3	2019	Gasteiz	21.6	-0.6	10.5	49.0	0.0
3	3	2019	Iruña	17.3	0.8	9.0	25.0	0.0
3	3	2019	Alforja	19.8	4.4	12.1	0.0	0.0
3	3	2019	Reus	19.8	4.4	12.1	22.0	0.0
3	3	2019	Tarragona	18.9	6.3	12.6	0.0	0.0
3	3	2019	Vigo	14.7	10.2	12.4	44.0	13.0
18	10	2019	Donostia	18.6	14.9	16.8	12.0	3.3
18	10	2019	Bilbo	19.2	14.7	17.0	12.0	2.2
18	10	2019	Gasteiz	20.3	12.0	16.1	24.0	1.5
18	10	2019	Iruña	20.7	12.6	16.7	15.0	0.7
18	10	2019	Reus	25.5	12.5	19.0	16.0	0.0
18	10	2019	Tarragona	24.3	14.8	19.5	0.0	0.0
18	10	2019	Vigo	17.2	11.9	14.6	18.0	2.8
29	8	2019	Donostia	25.9	20.5	23.2	18.0	0.0
29	8	2019	Bilbo	28.6	21.1	24.9	21.0	0.0
29	8	2019	Gasteiz	29.8	18.7	24.3	29.0	0.0
29	8	2019	Iruña	35.4	15.3	25.4	30.0	0.0
29	8	2019	Alforja	30.4	18.7	24.6	0.0	0.0
29	8	2019	Reus	30.4	18.7	24.6	17.0	0.0
29	8	2019	Tarragona	30.0	20.2	25.1	0.0	0.0
29	8	2019	Vigo	25.4	13.2	19.3	21.0	0.0
26	2	2019	Donostia	27.2	5.8	16.5	17.0	0.0
26	2	2019	Bilbo	26.1	5.7	15.9	25.0	0.0
26	2	2019	Gasteiz	21.1	-1.5	9.8	19.0	0.0
26	2	2019	Iruña	21.4	-0.1	10.6	13.0	0.0
26	2	2019	Alforja	19.1	3.7	11.4	0.0	0.0
26	2	2019	Reus	19.1	3.7	11.4	18.0	0.0
26	2	2019	Tarragona	18.4	7.6	13.0	0.0	0.0
26	2	2019	Vigo	23.3	9.2	16.2	23.0	0.0
18	3	2019	Donostia	14.8	8.1	11.5	23.0	3.0
18	3	2019	Bilbo	13.2	5.7	9.4	29.0	5.1
18	3	2019	Gasteiz	10.1	2.0	6.1	28.0	2.2
18	3	2019	Iruña	11.5	2.4	7.0	33.0	0.6
18	3	2019	Reus	19.8	5.8	12.8	45.0	0.0
18	3	2019	Tarragona	18.7	6.3	12.5	0.0	0.0
18	3	2019	Vigo	15.2	3.8	9.5	31.0	0.0
13	3	2019	Donostia	14.0	8.5	11.3	27.0	11.2
13	3	2019	Bilbo	12.5	7.6	10.0	39.0	8.9
13	3	2019	Gasteiz	8.7	1.8	5.2	30.0	5.6
13	3	2019	Iruña	10.3	4.5	7.4	37.0	1.3
13	3	2019	Reus	19.3	8.3	13.8	53.0	0.0
13	3	2019	Tarragona	20.8	10.6	15.7	0.0	0.0
13	3	2019	Vigo	12.0	3.2	7.6	24.0	0.1
6	2	2019	Donostia	17.7	11.2	14.5	0.0	0.0
6	2	2019	Bilbo	20.1	4.1	12.1	15.0	0.0
6	2	2019	Gasteiz	15.3	1.4	8.4	18.0	0.0
6	2	2019	Iruña	14.5	4.8	9.7	8.0	0.0
6	2	2019	Alforja	17.4	3.3	10.3	0.0	0.0
6	2	2019	Reus	17.4	3.3	10.3	15.0	0.0
6	2	2019	Tarragona	17.1	6.5	11.8	0.0	0.0
6	2	2019	Vigo	12.9	5.0	8.9	19.0	0.4
28	7	2019	Donostia	23.4	16.2	19.8	22.0	8.7
28	7	2019	Bilbo	25.3	14.6	19.9	20.0	1.6
28	7	2019	Gasteiz	23.9	11.9	17.9	20.0	0.0
28	7	2019	Iruña	24.9	12.8	18.8	26.0	1.0
28	7	2019	Alforja	30.2	14.7	22.5	30.0	0.0
28	7	2019	Reus	32.8	18.7	25.8	37.0	0.0
28	7	2019	Tarragona	33.7	18.7	26.2	0.0	0.0
28	7	2019	Vigo	23.3	12.0	17.6	26.0	0.0
17	7	2019	Donostia	24.7	19.5	22.1	14.0	0.0
17	7	2019	Bilbo	24.8	18.4	21.6	20.0	0.5
17	7	2019	Gasteiz	23.0	13.8	18.4	27.0	0.4
17	7	2019	Iruña	27.9	15.9	21.9	36.0	0.0
17	7	2019	Alforja	30.7	22.8	26.8	0.0	0.0
17	7	2019	Reus	30.7	22.8	26.8	20.0	0.0
17	7	2019	Tarragona	28.9	24.0	26.4	0.0	0.0
17	7	2019	Vigo	26.9	15.6	21.3	33.0	0.0
9	9	2019	Donostia	21.5	11.6	16.6	16.0	0.0
9	9	2019	Bilbo	22.2	9.9	16.1	33.0	2.7
9	9	2019	Gasteiz	21.1	2.6	11.9	29.0	0.0
9	9	2019	Iruña	24.8	5.9	15.3	33.0	0.0
9	9	2019	Reus	26.6	16.9	21.8	20.0	0.0
9	9	2019	Tarragona	26.7	19.0	22.9	0.0	0.0
9	9	2019	Vigo	21.8	11.6	16.7	28.0	0.6
5	8	2019	Donostia	24.0	19.7	21.9	11.0	0.5
5	8	2019	Bilbo	26.9	16.1	21.5	16.0	0.0
5	8	2019	Gasteiz	26.8	12.6	19.7	30.0	0.0
5	8	2019	Iruña	33.6	16.4	25.0	34.0	0.0
5	8	2019	Alforja	32.3	22.5	27.4	0.0	0.0
5	8	2019	Reus	32.3	22.5	27.4	15.0	0.0
5	8	2019	Tarragona	31.0	22.3	26.6	0.0	0.0
5	8	2019	Vigo	25.1	14.1	19.6	22.0	0.0
9	5	2019	Donostia	20.3	11.2	15.7	18.0	5.7
9	5	2019	Bilbo	20.6	7.6	14.1	21.0	0.0
9	5	2019	Gasteiz	16.8	4.5	10.6	29.0	3.3
9	5	2019	Iruña	20.3	5.7	13.0	25.0	5.8
9	5	2019	Reus	24.7	15.2	20.0	41.0	0.0
9	5	2019	Tarragona	23.0	15.4	19.2	0.0	0.0
9	5	2019	Vigo	15.5	10.1	12.8	31.0	4.2
19	5	2019	Donostia	13.7	11.0	12.3	33.0	66.5
19	5	2019	Bilbo	16.3	10.7	13.5	35.0	10.0
19	5	2019	Gasteiz	13.5	5.8	9.7	28.0	3.6
19	5	2019	Iruña	14.0	6.9	10.5	31.0	15.3
19	5	2019	Reus	24.0	12.0	18.0	33.0	0.0
19	5	2019	Tarragona	24.8	12.5	18.6	0.0	0.0
19	5	2019	Vigo	17.0	5.5	11.3	26.0	0.0
30	5	2019	Donostia	20.6	10.1	15.4	18.0	0.0
30	5	2019	Bilbo	26.2	9.0	17.6	17.0	0.0
30	5	2019	Gasteiz	26.0	2.8	14.4	21.0	0.0
30	5	2019	Iruña	26.2	5.0	15.6	24.0	0.0
30	5	2019	Reus	23.2	11.4	17.3	17.0	0.0
30	5	2019	Tarragona	21.6	12.8	17.2	0.0	0.0
30	5	2019	Vigo	30.6	16.2	23.4	22.0	0.0
3	6	2019	Donostia	24.0	15.8	19.9	16.0	0.0
3	6	2019	Bilbo	24.0	13.7	18.8	23.0	0.0
3	6	2019	Gasteiz	28.0	11.2	19.6	24.0	0.0
3	6	2019	Iruña	30.8	12.9	21.8	12.0	0.0
3	6	2019	Reus	25.2	13.9	19.6	19.0	0.0
3	6	2019	Tarragona	23.2	15.4	19.3	0.0	0.0
3	6	2019	Vigo	19.6	14.7	17.2	26.0	1.0
31	1	2019	Donostia	18.7	9.4	14.1	24.0	50.3
31	1	2019	Bilbo	18.3	8.1	13.2	42.0	30.9
31	1	2019	Gasteiz	13.1	4.1	8.6	45.0	24.3
31	1	2019	Iruña	10.2	2.8	6.5	17.0	19.6
31	1	2019	Alforja	18.2	3.3	10.8	0.0	0.0
31	1	2019	Reus	18.2	3.3	10.8	23.0	0.0
31	1	2019	Tarragona	17.3	7.1	12.2	0.0	0.0
31	1	2019	Vigo	12.5	7.2	9.8	0.0	89.5
28	6	2019	Donostia	22.5	17.8	20.1	19.0	0.0
28	6	2019	Bilbo	27.5	16.2	21.9	23.0	0.0
28	6	2019	Gasteiz	32.5	14.1	23.3	24.0	0.0
28	6	2019	Iruña	38.6	17.1	27.8	26.0	0.0
28	6	2019	Alforja	37.2	17.4	27.3	11.0	0.0
28	6	2019	Reus	34.3	19.1	26.7	20.0	0.0
28	6	2019	Tarragona	31.6	19.6	25.6	0.0	0.0
28	6	2019	Vigo	23.5	12.2	17.8	24.0	0.0
21	6	2019	Donostia	20.4	12.8	16.6	0.0	0.0
21	6	2019	Bilbo	20.4	12.8	16.6	17.0	2.6
21	6	2019	Gasteiz	19.7	10.8	15.3	22.0	2.3
21	6	2019	Iruña	20.0	12.6	16.3	30.0	1.7
21	6	2019	Reus	27.9	18.5	23.2	17.0	0.0
21	6	2019	Tarragona	26.6	18.1	22.4	0.0	0.0
21	6	2019	Vigo	22.5	10.8	16.7	24.0	0.0
23	12	2019	Donostia	16.6	10.5	13.6	25.0	4.0
23	12	2019	Bilbo	16.4	7.6	12.0	16.0	0.0
23	12	2019	Gasteiz	12.9	2.2	7.5	25.0	0.0
23	12	2019	Iruña	11.9	5.2	8.5	23.0	0.0
23	12	2019	Reus	17.0	6.7	11.8	56.0	0.0
23	12	2019	Tarragona	18.7	9.9	14.3	0.0	0.0
23	12	2019	Vigo	13.5	8.2	10.8	24.0	3.1
7	2	2019	Donostia	14.2	7.0	10.6	18.0	0.5
7	2	2019	Bilbo	10.3	2.3	6.3	0.0	0.0
7	2	2019	Gasteiz	10.3	2.3	6.3	14.0	0.0
7	2	2019	Iruña	11.2	1.1	6.1	27.0	0.0
7	2	2019	Alforja	16.4	3.5	9.9	0.0	0.0
7	2	2019	Reus	16.4	3.5	9.9	13.0	0.0
7	2	2019	Tarragona	15.4	6.9	11.1	0.0	0.0
7	2	2019	Vigo	12.5	5.2	8.8	17.0	2.8
25	10	2019	Donostia	22.7	10.2	16.5	14.0	0.0
25	10	2019	Bilbo	26.3	10.3	18.3	17.0	0.0
25	10	2019	Gasteiz	22.3	3.5	12.9	20.0	0.0
25	10	2019	Iruña	19.9	6.1	13.0	8.0	0.0
25	10	2019	Reus	23.3	11.4	17.3	0.0	0.0
25	10	2019	Tarragona	23.3	11.4	17.3	0.0	1.0
25	10	2019	Vigo	19.5	11.5	15.5	24.0	0.0
7	8	2019	Donostia	25.3	19.3	22.3	17.0	4.0
7	8	2019	Bilbo	29.5	19.4	24.4	18.0	0.0
7	8	2019	Gasteiz	29.1	16.4	22.8	27.0	0.3
7	8	2019	Iruña	30.8	18.3	24.5	27.0	0.0
7	8	2019	Alforja	30.9	24.7	27.8	0.0	0.0
7	8	2019	Reus	30.9	24.7	27.8	20.0	0.0
7	8	2019	Tarragona	29.9	25.0	27.4	0.0	0.0
7	8	2019	Vigo	19.8	17.3	18.5	26.0	16.3
13	8	2019	Donostia	22.4	15.2	18.8	13.0	0.0
13	8	2019	Bilbo	23.4	13.2	18.3	17.0	0.1
13	8	2019	Gasteiz	22.1	10.2	16.2	25.0	0.0
13	8	2019	Iruña	23.5	12.6	18.1	30.0	0.0
13	8	2019	Alforja	30.2	18.6	24.4	0.0	0.0
13	8	2019	Reus	30.2	18.6	24.4	37.0	0.0
13	8	2019	Tarragona	30.4	17.6	24.0	0.0	0.2
13	8	2019	Vigo	23.5	10.9	17.2	24.0	0.0
9	6	2019	Donostia	22.4	15.1	18.8	23.0	0.0
9	6	2019	Bilbo	16.7	13.0	14.9	27.0	0.9
9	6	2019	Gasteiz	21.1	9.7	15.4	31.0	0.0
9	6	2019	Iruña	25.5	10.6	18.1	37.0	0.0
9	6	2019	Reus	25.2	16.1	20.7	21.0	0.0
9	6	2019	Tarragona	24.2	17.7	21.0	0.0	0.0
9	6	2019	Vigo	18.4	9.1	13.8	23.0	0.0
20	9	2019	Donostia	31.8	15.8	23.8	21.0	0.0
20	9	2019	Bilbo	31.7	14.8	23.3	33.0	4.9
20	9	2019	Gasteiz	28.1	10.8	19.5	35.0	1.7
20	9	2019	Iruña	29.0	14.1	21.6	33.0	0.0
20	9	2019	Reus	26.8	17.3	22.0	20.0	0.0
20	9	2019	Tarragona	26.7	18.2	22.5	0.0	0.0
20	9	2019	Vigo	21.4	14.8	18.1	14.0	0.0
4	10	2019	Donostia	18.8	15.3	17.0	14.0	2.9
4	10	2019	Bilbo	18.2	14.9	16.6	12.0	1.7
4	10	2019	Gasteiz	21.2	6.3	13.8	27.0	0.0
4	10	2019	Iruña	23.8	9.9	16.8	30.0	0.0
4	10	2019	Reus	25.5	14.2	19.8	17.0	0.0
4	10	2019	Tarragona	25.5	14.2	19.8	0.0	0.0
4	10	2019	Vigo	20.6	13.3	17.0	16.0	0.4
10	12	2019	Donostia	15.1	8.1	11.6	21.0	0.0
10	12	2019	Bilbo	17.2	5.4	11.3	13.0	0.0
10	12	2019	Gasteiz	11.7	-1.3	5.2	23.0	0.0
10	12	2019	Iruña	13.8	3.3	8.6	17.0	0.2
10	12	2019	Reus	17.2	4.9	11.1	46.0	0.0
10	12	2019	Tarragona	17.5	8.0	12.8	0.0	0.0
10	12	2019	Vigo	11.9	3.5	7.7	22.0	0.7
25	9	2019	Donostia	22.7	16.6	19.7	19.0	0.3
25	9	2019	Bilbo	23.2	13.7	18.5	24.0	0.0
25	9	2019	Gasteiz	21.7	12.3	17.0	19.0	0.0
25	9	2019	Iruña	22.8	14.5	18.6	21.0	0.0
25	9	2019	Reus	25.9	18.8	22.3	23.0	0.0
25	9	2019	Tarragona	25.5	19.8	22.6	0.0	0.0
25	9	2019	Vigo	19.9	14.1	17.0	22.0	0.8
28	1	2019	Donostia	13.4	9.0	11.2	0.0	14.2
28	1	2019	Bilbo	12.3	7.8	10.1	47.0	10.8
28	1	2019	Gasteiz	8.1	3.7	5.9	0.0	0.0
28	1	2019	Iruña	8.0	2.8	5.4	49.0	26.0
28	1	2019	Alforja	12.3	4.6	8.5	34.0	0.0
28	1	2019	Reus	15.7	7.1	11.4	59.0	0.0
28	1	2019	Tarragona	17.1	6.8	12.0	0.0	0.0
28	1	2019	Vigo	12.6	6.9	9.8	30.0	4.2
5	5	2019	Donostia	13.7	3.9	8.8	34.0	0.0
5	5	2019	Bilbo	14.8	3.5	9.2	27.0	0.0
5	5	2019	Gasteiz	13.5	-1.1	6.2	22.0	0.0
5	5	2019	Iruña	12.9	1.9	7.4	37.0	0.2
5	5	2019	Reus	22.5	10.1	16.3	42.0	0.0
5	5	2019	Tarragona	23.6	9.7	16.7	0.0	0.0
5	5	2019	Vigo	22.9	9.1	16.0	28.0	0.0
31	12	2019	Donostia	11.5	3.5	7.5	17.0	0.0
31	12	2019	Bilbo	14.4	0.3	7.3	13.0	0.0
31	12	2019	Gasteiz	0.7	-2.1	-0.7	0.0	0.0
31	12	2019	Iruña	2.2	0.1	1.2	8.0	0.0
31	12	2019	Reus	14.2	0.8	7.5	13.0	0.0
31	12	2019	Tarragona	14.6	5.7	10.2	9.0	0.0
31	12	2019	Vigo	13.8	5.2	9.5	10.0	0.0
11	1	2019	Donostia	8.9	0.5	4.7	13.0	0.0
11	1	2019	Bilbo	7.2	0.1	3.6	10.0	0.0
11	1	2019	Gasteiz	5.5	-2.5	1.5	22.0	0.3
11	1	2019	Iruña	6.0	-1.4	2.3	35.0	0.0
11	1	2019	Alforja	6.6	-1.3	2.6	35.0	0.0
11	1	2019	Reus	9.9	-2.7	3.6	32.0	0.0
11	1	2019	Tarragona	11.7	-1.0	5.3	0.0	0.0
11	1	2019	Vigo	11.9	1.6	6.7	17.0	0.0
24	5	2019	Donostia	16.9	14.2	15.5	23.0	6.9
24	5	2019	Bilbo	16.6	12.4	14.5	33.0	2.1
24	5	2019	Gasteiz	15.1	10.4	12.8	28.0	5.1
24	5	2019	Iruña	14.5	11.1	12.8	31.0	13.2
24	5	2019	Reus	18.3	14.3	16.3	21.0	31.5
24	5	2019	Tarragona	18.2	14.5	16.4	0.0	27.0
24	5	2019	Vigo	21.3	9.2	15.2	28.0	0.0
28	4	2019	Donostia	15.4	8.8	12.1	15.0	0.0
28	4	2019	Bilbo	18.1	9.2	13.7	17.0	0.0
28	4	2019	Gasteiz	18.6	6.1	12.4	26.0	0.0
28	4	2019	Iruña	17.7	5.8	11.8	32.0	0.0
28	4	2019	Alforja	20.7	6.9	13.8	0.0	0.0
28	4	2019	Reus	20.7	6.9	13.8	23.0	0.0
28	4	2019	Tarragona	18.4	8.5	13.4	0.0	0.0
28	4	2019	Vigo	23.2	8.6	15.9	20.0	0.0
23	2	2019	Donostia	21.2	6.8	14.0	21.0	0.0
23	2	2019	Bilbo	20.1	-4.3	7.9	0.0	0.0
23	2	2019	Gasteiz	20.1	-4.3	7.9	27.0	0.0
23	2	2019	Iruña	20.6	-0.9	9.9	33.0	0.0
